Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
Moldova,0.012,49.0516561,3513,1288420223,24,0.025,0,0.119,71,0,3639592,2
Monaco,0.02,49.0516561,8529,2647883820,193,0.004,0.4,0.119,75,0.4,32081,2
Montenegro,0.013,49.0516561,8529,984279596,121,0.013,0.1,0.119,77,0.5,611196,2
Netherlands,0.013,49.0516561,8529,15493320082,193,0.005,0.4,0.048,81,0.7,15925513,2
Norway,0.013,49.0516561,38808,1.68289E+11,193,0.004,0.5,0.089,81,0.7,4490967,1
Poland,0.01,49.0516561,8529,1.71276E+11,247,0.008,0.1,0.2,78,0.2,38258629,1
Portugal,0.012,49.0516561,62966,1.173E+11,1070,0.006,0.2,0.119,80,0.6,10289898,1
Romania,0.01,49.0516561,89985,37305099928,72,0.023,0,0.119,75,0.1,22442971,1
Russian Federation,0.009,49.0516561,8529,15493320082,96,0.02,0,0.119,72,0,5971526,2
San Marino,0.02,49.0516561,8529,773907642,193,0.005,0.5,0.092,84,0.5,26969,2
Serbia,0.01,49.0516561,8529,6082791506,51,0.011,0.1,0.063,75,0.5,7516346,2
Slovak Republic,0.01,49.0516561,37312,28724041828,208,0.01,0.1,0.149,77,0.2,5388720,2
Slovenia,0.009,49.0516561,14265,19979467790,831,0.005,0.2,0.158,79,0.6,1988925,2
Spain,0.01,49.0516561,8529,15493320082,1045,0.005,0.1,0.052,83,0.6,40263216,2
Sweden,0.01,49.0516561,49794,15493320082,193,0.003,0.5,0.058,82,0.7,8872109,1
Switzerland,0.011,49.0516561,39050,15493320082,193,0.005,0.5,0.043,83,0.6,7184250,2
Turkey,0.021,49.0516561,8529,15493320082,196,0.034,0,0.119,74,0.3,5971526,2
Ukraine,0.008,49.0516561,8529,31261527363,36,0.016,0,0.119,74,0,49175848,2
United Kingdom,0.012,49.0516561,8529,15493320082,193,0.006,0.3,0.06,80,0.7,5971526,2
Bahrain,0.021,49.0516561,18643,9063147901,476,0.011,0.1,0.116,76,0.3,668239,2
"Iran, Islamic Rep.",0.019,49.0516561,8529,1.01287E+11,231,0.029,0,0.119,71,0,5971526,2
Iraq,0.036,49.0516561,72445,15493320082,7,0.036,0.1,0.119,73,0.5,23801156,0
Israel,0.022,49.0516561,62691,1.24895E+11,193,0.006,0.2,0.128,81,0.7,6289000,1
Jordan,0.031,49.0516561,15508,8457923945,171,0.023,0,0.118,73,0.1,4797000,0
Kuwait,0.024,49.0516561,55181,37718011469,494,0.011,0.1,0.089,74,0.3,1906231,1
Lebanon,0.019,49.0516561,15354,17260364842,579,0.017,0.1,0.182,76,0.2,3235380,2
Oman,0.024,49.0516561,21896,19867880550,264,0.014,0,0.101,74,0.1,2192535,2
Qatar,0.019,49.0516561,34730,17759889598,652,0.011,0,0.119,78,0.2,593693,2
Saudi Arabia,0.027,49.0516561,8529,1.88442E+11,398,0.019,0,0.119,74,0.1,20144584,1
Syrian Arab Republic,0.03,49.0516561,51048,19325894913,59,0.02,0,0.09,75,0,16371208,0
United Arab Emirates,0.017,49.0516561,8529,1.04337E+11,752,0.01,0.2,0.097,75,0.5,3026352,1
"Yemen, Rep.",0.039,49.0516561,14639,9636342275,25,0.069,0,0.195,62,0,17522537,0
American Samoa,0.02,49.0516561,8529,15493320082,193,0.02,0.1,0.119,75,0,57522,2
Australia,0.013,49.0516561,8529,15493320082,193,0.005,0.5,0.093,82,0.4,19153000,2
Fiji,0.025,49.0516561,865,1684109743,80,0.021,0,0.084,70,0.1,811647,0
French Polynesia,0.02,49.0516561,631,3447543138,193,0.02,0.1,0.119,75,0.2,237267,2
Guam,0.022,49.0516561,8529,15493320082,193,0.02,0.2,0.119,78,0.2,155328,2
Kiribati,0.029,49.0516561,33,67512715,65,0.054,0,0.119,68,0,82788,0
Marshall Islands,0.02,49.0516561,77,110937729,466,0.034,0,0.119,68,0,52161,2
"Micronesia, Fed. Sts.",0.03,49.0516561,136,233226323,170,0.042,0,0.153,68,0.5,107430,0
New Caledonia,0.021,49.0516561,2299,2682347064,193,0.02,0.1,0.119,78,0.2,213230,2
New Zealand,0.015,49.0516561,32897,52011621745,1052,0.006,0.5,0.078,81,0.4,3857700,1
Papua New Guinea,0.035,49.0516561,2688,3521348155,26,0.058,0,0.175,61,0,5379226,0
Samoa,0.031,49.0516561,139,239698992,80,0.019,0,0.119,73,0,174614,0
Solomon Islands,0.036,49.0516561,165,435101217,48,0.028,0,0.146,64,0,412336,0
Tonga,0.028,49.0516561,121,188623258,92,0.015,0,0.113,73,0,97962,0
Vanuatu,0.032,49.0516561,81,272014693,52,0.02,0,0.099,69,0,185058,0
Antigua and Barbuda,0.02,49.0516561,345,787693391,408,0.014,0.1,0.122,76,0.3,77648,2
Argentina,0.019,49.0516561,8529,15493320082,710,0.018,0.1,0.111,78,0.2,36903067,2
Aruba,0.014,49.0516561,2233,1873452514,193,0.02,0.2,0.121,76,0.2,90858,2
"Bahamas, The",0.018,49.0516561,1668,6327552000,1107,0.013,0.1,0.06,75,0.1,297759,2
Barbados,0.013,49.0516561,1188,3119500000,602,0.015,0,0.102,75,0.1,267190,2
Belize,0.029,49.0516561,689,831750000,139,0.021,0.1,0.16,74,0.1,238586,0
Bermuda,0.014,49.0516561,495,3480219000,193,0.02,0.4,0.119,81,0.2,61833,2
Bolivia,0.031,49.0516561,10224,8397858185,60,0.057,0,0.119,65,0.1,8495271,0
Brazil,0.021,49.0516561,8529,15493320082,265,0.029,0,0.119,74,0.1,5971526,2
Canada,0.011,49.0516561,8529,15493320082,193,0.005,0.5,0.073,82,0.3,30769700,2
